claim_id,paper_location,claim,evidence_type,evidence_path,verification,status
Q2-BOUNDARY,初边值与适用边界,继承hT与hm且气固量同单位不同基准,模型假设,review_q2_final_20260911/model/model_audit.md,等效映射与参数基准代数核查,已有模型证据核验;本版PDF另行验收
Q2-TABLES,摘要和两张结果表,60个规定数值及3h轴心表面状态,正式数据,q2_final_delivery/output/q2_unrounded.npz,CSV逐格核对与本版实际PDF提取核对,已有模型证据核验;本版PDF另行验收
Q2-TIME,结果输出范围,逐秒文件为1至10800s共453600个状态值,交付契约,review_q2_20260911/acceptance_checks.json,完整Excel与数组和输出时间核对,已有模型证据核验;本版PDF另行验收
Q2-SOLVE,数值方法,FV1280与2560作Richardson外推,代码与精度记录,q2_final_delivery/source/q2_finalize.py,已有十阶段复现及另一空间离散Radau独立复核,已有模型证据核验;本版PDF另行验收
Q2-ROUND,摘要和验证,453600个四位值与独立方法一致,独立数值证据,review_q2_20260911/第二问验收报告.md,继承既有独立r离散Radau全3h验证;本轮不重算,已有模型证据核验;本版PDF另行验收
Q2-GEOMETRY,验证与限制,有限圆柱中截面差不保证几何第四位精度,几何情景,q2_final_delivery/output/validation/validation.json,最终审核限定前3h与所测网格,已有模型证据核验;本版PDF另行验收
Q2-FIELDS,分布图和时间曲线,前3h温度近均匀而水分仍非均匀,正式数组,paper/q1_q2_stage/evidence/q2_asset_manifest.json,从冻结数组生成并登记源输出哈希,已有模型证据核验;本版PDF另行验收
Q2-D,摘要与机制,3h轴心表面D比2.1957和1.8207;末半小时降1.06%和3.16%,机制恒等式,review_q2_final_20260911/numeric/numeric_audit.json,独立累计对数分解和有限增量检查,已有模型证据核验;本版PDF另行验收
Q2-SENS,参数情景,同N320的hm与hT正负20%割线灵敏度,确定性情景,q2_refinement_delivery/reused/sensitivity_tracks.npz,最终核查与之前本地全PDE复算投影一致,已有模型证据核验;本版PDF另行验收
Q2-ENERGY,物理闭合,组成储能携焓消元与共同参考态不变性,条件性推导,review_q2_final_20260911/model/closure_algebra_probe.json,64状态乘7类精确有理数恒等式;非实验验证,已有模型证据核验;本版PDF另行验收
Q2-SCOPE,正文及结语,前3h有效模型不等同于数天全过程或真实预测误差,验收边界,review_q2_final_20260911/第二问最终核查报告.md,采用已披露前3h工作范围;第三问独立处理,已有模型证据核验;本版PDF另行验收
